Book ID,Title,Author,Genre,Publishing year,Overview
58,The Hunchback of Notre Dame,Victor Hugo,Romance,2001,"In 15th-century Paris, Clopin the puppeteer tells the story of Quasimodo, the misshapen but gentle-souled bell ringer of Notre Dame, who was nearly killed as a baby by Claude Frollo, the Minister of Justice. But Frollo was forced by the Archdeacon of Notre Dame to raise Quasimodo as his own. Now a young man, Quasimodo is hidden from the world by Frollo in the belltower of the cathedral. But during the Festival of Fools, Quasimodo, cheered on by his gargoyle friends Victor, Hugo, and Laverne, decides to take part in the festivities, where he meets the lovely gypsy girl Esmeralda and the handsome soldier Phoebus. The three of them find themselves ranged against Frollo's cruelty and his attempts to destroy the home of the gypsies, the Court of Miracles. And Quasimodo must desperately defend both Esmeralda and the very cathedral of Notre Dame"
59,Wuthering Heights,Emily Bronte ,Romance,1847,"In†Emily BrontÎ's†Wuthering Heights, realism and gothic symbolism combine to form a romance novel that's full of social relevance. Follow the self-destructive journey of†Heathcliff†as he seeks revenge for losing his soul mate,†Catherine, to†Edgar Linton.†Themes†ó such as good versus evil, chaos and order, selfishness, betrayal, and obsession ó intertwine as the story unfolds. Emily Bronte's†Wuthering Heights†is a symbolic and psychological study of the nature of love."
60,Jane Eyre,Charollete Bronte,Romance,1847,"Charlotte BrontÎ's†Jane Eyre†opens with Jane, an orphaned, isolated ten-year-old, living with a family that dislikes her. She grows in strength, excels at school, becomes a governess, and falls in love with Edward Rochester. After being deceived by him, Jane goes to Marsh End, where she regains her spirituality and discovers her own strength. By novel's end, Jane is a strong, independent woman. Charlotte BrontÎ's†Jane Eyre†still raises relevant questions to readers today."
61,Emma,Jane Austen,Romance,1815,"Following the antics of a young woman, Emma Woodhouse, who lives in Georgian- and Regency-era England and occupies herself with matchmaking - in sometimes misguided, often meddlesome fashion- in the lives of her friends and family."
62,Northanger Abbey,Jane Austen,Romance,1817,"Catherine Morland is taken to Bath, England by the wealthy Mr. and Mrs. Allen and introduces her to Georgian society. There she meets the social-climbing Isabella and John Thorpe, the handsome Henry Tilney and elegant Eleanor Tilney. After making an impression on Henry and Eleanor's father, the Tilneys invite her to their country mansion, Northanger Abbey. Catherine falls in love with Henry but realizes that love can be fickle and that money - and not just love - is an important consideration in the marriage business. The story is based on Jane Austen's novel of the same name, ""Northanger Abbey."""
63,The Great Gatsby,Francis Scott Fitzgerald,Romance,1925,"The Great Gatsby, follows†Jay Gatsby, a man who orders his life around one desire: to be reunited with†Daisy Buchanan, the love he lost five years earlier. Gatsby's quest leads him from poverty to wealth, into the arms of his beloved, and eventually to death. Published in 1925,†The Great Gatsby†is a classic piece of American fiction. It is a novel of triumph and tragedy, noted for the remarkable way Fitzgerald captured a cross-section of American society."
64,Twilight,Stephenie Meyer,Romance,2005,"High-school student Bella Swan (Kristen Stewart), always a bit of a misfit, doesn't expect life to change much when she moves from sunny Arizona to rainy Washington state. Then she meets Edward Cullen (Robert Pattinson), a handsome but mysterious teen whose eyes seem to peer directly into her soul. Edward is a vampire whose family does not drink blood, and Bella, far from being frightened, enters into a dangerous romance with her immortal soulmate."
65,The Fault in Our Stars,John Green,Romance,2012,"Hazel Grace Lancaster (Shailene Woodley), a 16-year-old cancer patient, meets and falls in love with Gus Waters (Ansel Elgort), a similarly afflicted teen from her cancer support group. Hazel feels that Gus really understands her. They both share the same acerbic wit and a love of books, especially Grace's touchstone, ""An Imperial Affliction"" by Peter Van Houten. When Gus scores an invitation to meet the reclusive author, he and Hazel embark on the adventure of their brief lives."
66,The Time Traveler's Wife,C.S. Lewis,Romance,1950,"Chicago librarian Henry De Tamble (Eric Bana) suffers from a rare genetic disorder that causes him to drift uncontrollably back and forth through time. On one of his sojourns, he meets the love of his life, Claire (Rachel McAdams), and they marry. But the problems and complexities of any relationship are multiplied by Henry's inability to remain in one time and place, so that he and his beloved are continually out of sync."
67,"Eat, Pray, Love",George R.R. Martin,Romance,1996,"Liz Gilbert (Julia Roberts) thought she had everything she wanted in life: a home, a husband and a successful career. Now newly divorced and facing a turning point, she finds that she is confused about what is important to her. Daring to step out of her comfort zone, Liz embarks on a quest of self-discovery that takes her to Italy, India and Bali."
